username,public_repos,public_gists,followers,following,repos_count,contribution,JavaScript,Java,HTML,CSS,C,Python,C++,TypeScript,C#,Dart,Kotlin,PHP,Go,industry_score
pavithradilshani,7,0,0,0,7,6,0.0,51.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.56,0.0,0.0,0.0,8.626666666666667
chandukasm,30,0,3,2,30,24,80.46,66.08,10.28,11.22,8.25,11.6,34.36,32.72,35.95,98.05,0.65,7.79,6.65,26.058888888888884
shameelashker,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
HeshanDSilva,13,0,0,0,13,12,0.0,100.0,58.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,66.19,0.0,19.486666666666665
IshaniDasanayake,14,0,2,2,14,4,43.66,12.08,17.25,7.06,8.74,6.77,24.3,0.27,3.17,0.1,1.17,0.51,0.75,8.76833333333333
vtharmi,14,0,1,2,14,16,46.71,100.0,24.03,4.65,0.0,100.0,0.0,56.99,0.0,0.0,0.0,0.0,0.0,20.18777777777778
lahirusudesh,47,0,1,1,30,20,29.39,72.13,26.04,13.42,41.93,24.43,49.66,39.34,33.97,0.18,2.03,0.52,0.92,22.942222222222224
buddhikac96,63,12,52,54,30,30,40.16,76.08,25.26,21.97,35.42,72.76,28.81,41.98,61.05,0.0,0.0,16.81,0.0,35.07222222222222
Dinal-Fernando,17,0,1,0,17,22,65.71,69.07,8.27,10.8,0.0,99.06,0.0,72.8,0.0,0.0,98.56,0.0,0.0,25.515
HasangaLakdinu,81,1,13,2,30,21,72.24,68.07,31.8,12.41,0.0,34.11,0.0,42.9,100.0,0.0,0.0,50.08,0.43,29.946666666666665
anojaagnanes,6,9,0,3,6,10,8.71,91.29,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.444444444444445
piumihansika,17,100,1,0,17,19,54.02,2.12,28.76,13.45,3.96,51.11,85.29,48.66,0.0,0.0,0.0,0.0,0.0,23.465
surekaRanjani123,3,0,0,0,3,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888888888888889
hasindumm,25,1,3,0,25,11,24.91,69.99,40.02,5.51,5.93,6.89,7.13,34.63,0.69,0.15,0.23,0.52,0.07,13.926111111111108
AsiriGeethika,8,0,3,0,8,6,76.66,2.3,14.12,0.79,0.0,2.67,0.0,68.14,0.0,0.0,0.0,0.0,0.0,10.204444444444444
Raviru,23,0,9,6,23,1,23.95,24.98,35.65,15.7,4.26,5.73,14.94,22.29,2.15,0.4,0.72,1.85,1.53,11.952777777777776
